brand,categories,features.value,manufacturer,name
Purina Friskies,"Food & Grocery,General Grocery,Gravy Mix & Prepared","Water Sufficient for Processing,Turkey,Liver,Wheat Gluten,Meat By-Products,Corn Starch-Modified,Soy Flour,Cheese,Artificial and Natural Flavors,Salt,Tricalcium Phosphate,Sodium Caseinate,Spice and Coloring,Soybean Oil,Potassium Chloride,Dried Whey,Taurine,Sodium Tripolyphosphate,Choline Chloride,Mono and Dicalcium Phosphate,Thiamine Mononitrate,Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Sorbic Acid (a Preservative),Niacin,Calcium Pantothenate,Vitamin A Supplement,Copper Sulfate,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity),Manganese Sulfate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide. B-6173.",Nestlï¿½ï¿½ Purina PetCare Company,Purina Friskies Tasty Treasures with Turkey & Cheese in Gravy Cat Food 5.5 oz. Can
Hungry Jack,"Food & Grocery,General Grocery,Honey & Syrup,Food,Meal Solutions, Grains & Pasta,Honey,Condiments, Sauces & Spices","Enriched Bleached Flour (Wheat Flour,Malted Barley Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Semi Sweet Chocolate Chips (Sugar,Chocolate Liquor,Cocoa ~~~ Dextrose,Soy Lecithin,Artificial Flavor),Sugar,Dextrose,Baking Powder (Baking Soda,Monosodium Phosphate,Sodium Aluminum Phosphate),contains 2% or less of: Partially Hydrogenated Soybean Oil,Salt,Potassium Bicarbonate,Calcium Carbonate,Eggs,Corn Starch,Corn Syrup Solids,Vitamin B6,Folic Acid,Vitamin B12.",Smucker's,Hungry Jack Chocolate Chip Pancake Mix
Folgers,"Food & Grocery,General Grocery,Jerky & Meat Snacks",100% Pure Coffee.,J.M. Smucker Company,"Folgers Decaf Instant Coffee, Special Roast, 3 Oz"
Wellness,"Food & Grocery,General Grocery,Jerky & Meat Snacks","Chicken,Chicken Broth,Chicken Liver,Whitefish,Ground Barley,Sweet Potatoes,Carrots,Ground Flaxseed,Carrageenan,Canola Oil,Guar Gum,Potassium Chloride,Salt,Iron Proteinate,Zinc Proteinate,Choline Chloride,Vitamins E Supplement,Cobalt Proteinate,Copper Proteinate,Manganese Proteinate,Riboflavin Supplement,Sodium Selenite,Thiamine Mononitrate,Vitamin A Supplement,Vitamin B-12 Supplement,Potassium Iodide,Biotin,Vitamin D-3 Supplement",Wellness Pet Products,Chicken & Sweet Potato Canned Dog Food
Zatarain's,"Food & Grocery,General Grocery,Jerky & Meat Snacks","Enriched Wheat Flour (Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Malted Barley Flour,Dehydrated Vegetables (Onion, Bell Pepper, Celery, Green Onion, Parsley),Salt,Soybean Oil (Tbhq Added As A Preservative),Wheat Flour,Monosodium,Glutamate,Garlic,Yeast Extract,Soy Sauce (100 Soybean),Thiamine Hydrochloride,Soybean Oil,Black Pepper,Cayenne Pepper,Silicon Dioxide (Flow Agent),Spices.",Generic,"Zatarain's New Orleans Style Shrimp Creole Base, 2 Oz, (pack of 12)"
Borden,"Food & Grocery,General Grocery,Jerky & Meat Snacks,Food,Jerky","Water,Raisins,Brown Sugar,Sugar,Dried Apples,Dextrose,Brandy,Corn Starch Modified,Distilled Vinegar,Dried Citrus Peel,Beef,Salt,Spices,Rum.",The J.M. Smucker Company,Rum and Brandy Mincemeat Container
Dr. Pepper,"Food & Grocery,General Grocery,Jerky & Meat Snacks,Grocery","Carbonated Water,High Fructose Corn Syrup and/Or Sugar and 2 Or Less of: Caramel Color,Artificial and Natural Flavors,Sodium Benzoate (Preservative),Citric Acid,Phosphoric Acid,Caffeine,Malic Acid,Red 40.","Dr Pepper/Seven Up, Inc",Cola Cherry Vanilla
Mountain Dew,"Food & Grocery,General Grocery,Jerky & Meat Snacks,grocery","Carbonated Water,High Fructose Corn Syrup,Natural and Artificial Flavor,Orange Juice Concentrate,Citric Acid,Sodium Benzoate (Preserves Freshness),Caffeine,Sodium Citrate,Yellow 6,Calcium Disodium EDTA (to Protect Flavor),Gum Arabic,Brominated Vegetable Oil,Yellow 5,Red 40.","PepsiCo, Inc.",Mtn Dewï¿½ï¿½ Livewireï¿½ï¿½ Soda 2 L Bottle
El Pico,"Food & Grocery,General Grocery,Jerky & Meat Snacks,Grocery & Gourmet Food,Snack Foods,Jerky & Dried Meats,Snacks,Grocery","100 Pure Coffee. Vacuum packed,The freshness,aroma and natural flavor of roasted coffee,Kosher",Rowland Coffee Roasters,"El Pico Espresso Ground Coffee, 10 Oz"
Squirt,"Food & Grocery,General Grocery,Macaroni & Cheese,Home","Natural Flavors,Concentrated Ruby Red Grapefruit Juice,Citric Acid,Aspartame,Modified Food Starch,Sodium Benzoate (Preservative),Malic Acid,Caffeine,Acesulfame Potassium,Sodium Citrate,Ester Gum,Red 40,Brominated Vegetable Oil,Calcium Disodium Edta (Preservative),.",A&W Concentrate Company,"Diet Squirt Ruby Red, 2 L"
House-Autry,"Food & Grocery,General Grocery,Marinades & Sauces","Enriched Whole Grain Yellow Corn Meal (Corn, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Enriched Bleached Wheat Flour (Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Salt,Sodium Bicarbonate,Monocalcium Phosphate,Sodium Aluminum Phosphate.",House Autry,House-autry Yellow Self-rising Corn Meal Mix 2 Lb. Bag
Arm Hammer,"Food & Grocery,General Grocery,Marinades & Sauces","Biodegradeable Surfactants (Anionic and Nonionic),and Enzymes.",Tide,"Tide Detergent, Original Scent, 300 fl oz (2.34 gal) 8.87 lt"
Don Hyoe,"Food & Grocery,General Grocery,Mayonnaise",fried noodles,Don Hyoe,143gx12 Pieces Nisshin Don Samurai Tokusakari Tempura Soba East
RC COLA,"Food & Grocery,General Grocery,Mustard,Conventional Foods,Condiments,Grocery & Gourmet Food,Snack Foods,Crackers,Condiments & Salad Dressings,Dijon Mustard","Carbonated Water,Caramel Color,Phosphoric Acid,Potassium Citrate,Sucralose,Citric Acid,Acacia Gum,Potassium Benzoate(Protects Flavor),Caffeine,Natural Flavors,Sodium Citrate,Sodium Benzoate And Potassium Sorbate (Preservatives),.",DR. PEPPER,"Diet Rc Cola, 12 Fl Oz, 12 Pack"
Purina Friskies,"Food & Grocery,General Grocery,Olives, Capers & Pimentos","Water,sufficient for processing,Salmon,Meat By-Products,Liver,Rice,Corn Bran,Artificial and Natural Flavors,Spinach,Chicken,Rice Flour,Tricalcium Phosphate,Guar Gum,Parsley,Added Color,Potassium Chloride,Carrageenan,Salt,Taurine,Dl-Methionine,Choline Chloride,Thiamine Mononitrate,Zinc Sulfate,Ferrous Sulfate,Vitamin E Supplement,Niacin,Copper Sulfate,Manganese Sulfate,Calcium Pantothenate,Vitamin A Supplement,Menadione Sodium,Bisulfite Complex (source of Vitamin K Activity),Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide.",Friskie's,"Purina Friskies Indoor Pate Cat Food Salmon Dinner with Garden Greens, 5.5 OZ"
Purina Cat Chow,"Food & Grocery,General Grocery,Peppers & Chilies,Conventional Foods,Condiments","Chicken By-Product Meal,Corn Gluten Meal,Soy Flour,Ground Whole Wheat,Brewers Rice,Animal Fat Preserved with Mixed-Tocopherols,Corn Meal,Natural Flavor,Chicken,Salmon,Phosphoric Acid,Salt,Calcium Carbonate,Dried Spinach,Choline Chloride,Taurine,Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Manganese Sulfate,Potassium Chloride,Niacin,Copper Sulfate,Vitamin A Supplement,Calcium Pantothenate,Thiamine Mononitrate,Riboflavin Supplement,Vitamin B-12 Supplement,Pyridoxine Hydrochloride,Folic Acid,Vitamin D-3 Supplement,Calcium Iodate,Biotin,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity,),Sodium Selenite. F-4521.",Cat Chow,Purina Cat Chow Naturals Original Plus Vitamins _ Minerals Cat Food 16 oz. Pouch
International Collection,"Food & Grocery,General Grocery,Peppers & Chilies,Conventional Foods,Condiments","Olive Oil,Natural Extracts of Garlic.,Natural Extracts of Garlic. Produced In A Facility That Handles Tree Nuts And Peanut Oils.",Liberty Richter,"International Collection Flavored Olive Oil, Garlic, 8.45 Fl Oz"
Cento,"Food & Grocery,General Grocery,Peppers & Chilies,Conventional Foods,Condiments","Chick Peas,Water,and Salt,Disodium EDTA added as a preservative.",Cento,"Cento Ceci Beans Chick Peas, 19 Ounce (Pack of 12)"
Victoria,"Food & Grocery,General Grocery,Pickles & Relish,Conventional Foods,Condiments","Mushrooms,Filtered Water,Vinegar,Italian Olive Oil/Canola Oil,Sea Salt,Garlic,Spices,1/10 of 1% Benzoate of Soda,Potassium Sorbate (as a Preservative),Sodium Bisulfite (to Retain Color),and FD&C Yellow #5.",Victoria,"Victoria Marinated Mushrooms, 8.0 FL OZ"
Goya Food,"Food & Grocery,General Grocery,Pickles & Relish,Conventional Foods,Condiments,Food,Pickles","Carbonated Water,High Fructose Corn Syrup,Artificial Flavor,FD&C Yellow #6,FD&C Yellow #5,Citric Acid.,FDC Yellow 6,FDC Yellow 5","GOYA FOODS, INC.","Goya Cola Champagne, 12 oz"
Pioneer,"Food & Grocery,General Grocery,Ready to Cook","Enriched Bleached Flour (Wheat Flour,Niacin,Reduced Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid),.",Ch Guenther,"Pioneer All Purpose Flour, 5 lbs"
Maxwell House,"Food & Grocery,General Grocery,Ready to Cook",100% Pure Coffee.,Kraft Foods,"Maxwell House 100% Colombian Medium Ground Coffee, 10.5 oz"
Martha White,"Food & Grocery,General Grocery,Ready to Cook,Grocery & Gourmet Food,Cooking & Baking,Breadcrumbs & Seasoned Coatings,Seasoned Coatings","Enriched Degerminated Yellow Corn Meal (Degerminated Yellow Corn Meal,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid).",Martha White Foods,Martha White Plain Enriched Yellow Corn Meal
Martha White,"Food & Grocery,General Grocery,Ready to Heat","Enriched White Corn Meal,Wheat Flour and Degerminated White Corn Meal (White Corn Meal,Wheat Flour,Degerminated White Corn Meal,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid); Baking Powder (Baking Soda,Sodium Aluminum Phosphate,Monocalcium Phosphate); Salt.",The J.M. Smucker Company,"Martha White Self-Rising Corn Meal Mix, 32.0 OZ"
7up,"Food & Grocery,General Grocery,Ready to Heat,Home","FILTERED CARBONATED WATER,CITRIC ACID,POTASSIUM CITRATE,POTASSIUM BENZOATE (PRESERVATIVE),NATURAL FLAVORS,ASPARTAME,ACESULFAME POTASSIUM,CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR),Filtered Carbonated Water And Contains 2 Or Less of Each of The Following: Natural Flavors,Citric Acid,Potassium Citrate,Potassium Benzoate (Protects Flavor),Aspartame,Acesulfame Potassium,Calcium Disodium Edta (Protects Flavor),. Phenylketonurics: Contains Phenylalanine.","Dr Pepper/Seven Up, Inc","Diet 7UP, 20 fl oz"
LaCroix,"Food & Grocery,General Grocery,Salad & Casserole Toppings","Carbonated Water,Natural Flavor.",Sundance Beverage Company,"LaCroix Sparkling Water, Lemon, 12 Fl Oz, 12 Ct"
Zatarain's,"Food & Grocery,General Grocery,Spice, Seasoning & Sauce","Enriched Corn Flour (Flour,Niacin,Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Salt,Spices (Including Red Pepper),Citric Acid,Corn Maltodextrin,Monosodium Glutamate (Flavor Enhancer),Garlic,Lemon Juice Concentrate,Onion and Sugar.,Enriched Corn Flour (Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Spice (Including Red Pepper),Onion,Lemon Puree,And Lemon Juice.","Mccormick & Company, Inc.","Zatarain's Fish Fri New Orleans Style Lemon Pepper Seafood Breading Mix, 12 oz"
Folgers,"Food & Grocery,General Grocery,Spice, Seasoning & Sauce,Food",No,The J.M. Smucker Company,"Folgers Special Roast Ground Coffee, 0.8 oz"
Wholesome Sweeteners,"Food & Grocery,Gift Sets,Candy",Organic Evaporated Cane Juice*.,Wholesome Sweeteners,"Wholesome! Organic Cane Sugar, 64.0 OZ"
Lavazza,"Food & Grocery,Gift Sets,Candy,Food","100% Arabica.,100 Arabica.",Lavazza Premium Coffees Inc.,"Lavazza Italy's Favorite Coffee Santa Marta 100% Arabica, Colombia Ground Coffee, 12.0 OZ"
Bob's Red Mill,"Food & Grocery,Gum & Candy,Chewable Candy","STONE GROUND WHOLE WHEAT FLOUR,VITAL WHEAT GLUTEN,SUNFLOWER SEEDS,DRY MOLASSES (MOLASSES,MALTODEXTRIN,SILICON DIOXIDE),DRY HONEY (MALTODEXTRIN,CORN SYRUP SOLIDS),HONEY),FLAXSEED,SEA SALT (MAGNESIUM CARBONATE) AND ACTIVE DRY YEAST.",Bob's Red Mill,Bob's Red Mill Whole Wheat Bread Mix 19 oz
Woodstock,"Food & Grocery,Gum & Candy,Chewable Candy","Organic Cane Sugar,Organic Molasses.",Woodstock,"Woodstock Organic Brown Sugar, 16.0 OZ"
Mountain Dew,"Food & Grocery,Gum & Candy,Chewable Candy","Carbonated Water,High Fructose Corn Syrup,Concentrated Orange Juice,Citric Acid,Natural Flavor,Sodium Benzoate (Preserves Freshness),Caffeine,Sodium Citrate,Erythorbic Acid (Preserves Freshness),Gum Arabic,Calcium Disodium EDTA (to Protect Flavor),Brominated Vegetable Oil,Yellow 5.",Pepsico,"Mountain Dew, 20.0 FL OZ"
Washington,"Food & Grocery,Gum & Candy,Chewable Candy","Enriched Bleached Flour (Wheat Flour,Niacin,Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Yellow Corn Flour,Salt,Spices,Natural Flavor,Onion Powder,Turmeric.",Washington Quality Foods,"Washington Chicken Breading Mix, 20.0 OZ"
Dentyne,"Food & Grocery,Gum & Candy,Chewable Candy","SORBITOL,MALTITOL,GUM BASE,ARTIFICIAL AND NATURAL FLAVORING,MANNITOL; LESS THAN 2% OF: ACACIA,ACESULFAME POTASSIUM,BHT (TO MAINTAIN FRESHNESS),BLUE 2 LAKE,CANDELILLA WAX,GLYCERIN,RED 40 LAKE,SOY LECITHIN,SUCRALOSE AND TITANIUM DIOXIDE (COLOR).,Sorbitol,Maltitol,Gum Base,Artificial and Natural Flavoring,Mannitol; Less than 2% of: Acacia,Acesulfame Potassium,BHT (to Maintain Freshness),Blue 2 Lake,Candelilla Wax,Glycerin,Red 40 Lake,Soy Lecithin,Sucralose and Titanium Dioxide (Color),.",Dentyne Ice Gums and Mints,"Dentyne Fire Sugar-Free Gum, Spicy Cinnamon (16 ct per pack)"
kikkoman,"Food & Grocery,Gum & Candy,Chewable Candy","Potato Starch,Enriched Bleached Wheat Flour (Bleached Wheat Flour,Malted Barley Flour,Niacin,Reduced Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Wheat Flour,Dehydrated Soy Sauce (Soy Sauce [Soybeans,Wheat,Salt],Maltodextrin,Salt),Spice,Hydrogenated Palm Oil,Salt,Corn Starch,Yeast Extract,Silicon Dioxide.",Kikkoman,"Kikkoman Karaage Mix, 6 Oz"
PUROAST COFFEE,"Food & Grocery,Gum & Candy,Chewable Candy","100% Roasted Coffee.,100 Roasted Coffee. 100 premium coffee,no additives,gluten free,calorie free,No sugar needed,gives you all of the coffee flavor without the bitterness,which is why you don't need sugar,7 times more antioxidants than green tea and 5 times more antioxidants than other coffees,70 less acidity compared to other leading coffees,which makes Puroast ideal for people with chronic heartburn,ulcers or acid reflux,Great tasting coffee any time of the day",Puroast Coffee,"Puroast Coffee Vanilla Ground Coffee, 40 oz"
PYURE,"Food & Grocery,Gum & Candy,Chewable Candy","ORGANIC AGAVE INULIN,ORGANIC STEVIA LEAF EXTRACT (REB A),NATURAL FLAVOR.,Organic Agave Inulin,Organic Reb A (Stevia Extract),Natural Flavor.",PYURE,Pyure Organic Stevia Packets
4C,"Food & Grocery,Gum & Candy,Chewable Candy","Maltodextrin,Citric Acid,Instant Tea,Natural Lemon Flavors,Ascorbic Acid (Vitamin C),Acesulfame Potassium,Sucralose,Caramel Color,Natural Lemon Juice Powder,FD&C Red #40.,FDC Red 40.",4C Foods Corp.,"4C Light Half _ Half Iced Tea Lemonade Mix, 13.9 OZ"
McCormick,"Food & Grocery,Gum & Candy,Chewable Candy","Water,Alcohol (10%),Natural Flavor,and Propylene Glycol.",McCormick,"McCormick Hazelnut Flavor, 1.0 FL OZ"
The Organic Coffee Co.,"Food & Grocery,Gum & Candy,Chewable Candy","Arabica Organic Coffee (Flavored Coffees Also Contain Natural Flavors).,Arabica Organic Coffee (Flavored Coffees Also Contain Natural Flavors),.",ORGANIC COFFEE,"Organic Coffee Company Ground Coffee, Java Love, 12 Oz, 1 Ct"
Flavorganics,"Food & Grocery,Gum & Candy,Chewable Candy","Water,Organic Alcohol,Organic Agave Syrup,Organic Cocoa Powder.",Flavorganics,Flavorganics Organic Chocolate Extract 2 fl oz
Woodstock Farms,"Food & Grocery,Gum & Candy,Chewable Candy,Grocery & Gourmet Food,Candy & Chocolate,Gummy Candy,Food","Organic Cane Sugar,Organic Corn Starch (3%).",Woodstock,"Woodstock Organic Vegan Powdered Sugar, 16 Oz"
Pillsbury,"Food & Grocery,Gum & Candy,Gum & Mints","Sugar,Enriched Flour Bleached (Wheat Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Partially Hydrogenated Vegetable Oil (Soybean And/Or Cottonseed Oil),Wheat Starch,Contains 2% Or Less Of Each Of The Following: Baking Powder (Baking Soda,Sodium Aluminum Phosphate,Monocalcium Phosphate),Cocoa Processed With Alkali,Corn Starch,Propylene Glycol Mono- And Diesters Of Fatty Acids,Mono- And Diglycerides,Salt,Carob Powder,Natural And Artificial Flavor,Cellulose,Caramel Color,Cellulose Gum,Xanthan Gum,Polysorbate 60,Soy Lecithin,Whey Protein Concentrate,Sodium Phosphate.",Smucker's,"Pillsbury: Moist Supreme German Chocolate Cake Mix, 18.25 Oz"
Trident,"Food & Grocery,Gum & Candy,Gum & Mints","SORBITOL,GUM BASE,MALTITOL,MANNITOL,NATURAL AND ARTIFICIAL FLAVORING; LESS THAN 2% OF: ACACIA,ACESULFAME POTASSIUM,ASPARTAME,BHT (TO MAINTAIN FRESHNESS),CANDELILLA WAX,GLYCERIN,SODIUM STEARATE,SUCRALOSE,TITANIUM DIOXIDE (COLOR).",Trident,Trident White Spearmint Sugar Free Gum - 16 Ea
Tic Tac,"Food & Grocery,Gum & Candy,Gum & Mints","Sugar,Maltodextrin,Tartaric Acid,Natural and Artificial Flavors,Rice Starch,Gum Arabic,Magnesium Stearate,Ascorbic Acid,Yellow 6,Carnauba Wax.",Ferrero U.S.A. Inc.,"Tic Tac, Orange Bottle Pack, 3.4 Oz"
Patak's,"Food & Grocery,Gum & Candy,Gum & Mints","Water,Mango,Sugar,Cream,Onion,Canola Oil,Corn Starch,Spices,Vinegar,Concentrated Tomato Puree,Sea Salt,Garlic,Ginger,Turmeric and Paprika (Color),.",Patak's,Pataks Simmer Sauce - Mango Curry - Mild - 15 oz - case of 6
Patak's,"Food & Grocery,Gum & Candy,Gum & Mints","Sugar,Canola Oil,Egg Plant (Aubergines),Chile Peppers,Salt,Mustard,Fenugreek,Coriander,Spices,Garlic,Turmeric (Color),Acetic Acid.",Online Indian Grocery,Pataks Brinjal (Egg Plant) Relish 11 Oz
Plum Organics,"Food & Grocery,Gum & Candy,Gum & Mints","Organic Apple Puree,Organic Quinoa,Organic Milled Oats,Organic Cinnamon,Organic and Natural Flavors",Plum Organic,"Plum Organics Tots Fruit and Grain Mish Mash Organic Whole Grain Snack, 3.17 oz"
Gerber,"Food & Grocery,Gum & Candy,Gum & Mints","Organic Apples,Organic Peach Puree,Vitamin C (assorbic Acid)",Nestle USA Inc.,"Gerber 2nd Foods Organic Fruit Apples _ Summer Peaches, 3.5 OZ"
Inca Kola,"Food & Grocery,Gum & Candy,Gum & Mints","Carbonated Water,High Fructose Corn Syrup and/or Sucrose,Citric Acid,Sodium Benzoate (to protect taste),Caffeine,Artificial and Natural Flavors,Yellow 5.",The Coca-Cola Company,"Inca Kola The Golden Kola, 67.6 Fl Oz"
Dr. Pepper,"Food & Grocery,Gum & Candy,Gum & Mints","Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural And Artificial Flavors,Sodium Benzoate (Preservative),Caffeine.","Dr Pepper/Seven Up, Inc",Dr Soda
Coffee Bean & Tea Leaf,"Food & Grocery,Gum & Candy,Gum & Mints,Food,Food Gifts","100 Arabica Coffee. Medium-bodied,Fragrant aroma,Bright,crisp flavor",Coffee Bean & Tea Leaf,"The Coffee Bean & Tea Leaf Costa Rica La Cascada Tarrazu Medium Roast Ground Coffee, 12 Oz"
Roland,"Food & Grocery,Gum & Candy,Gum & Mints,Grocery","Balsamic Vinegar of Modena,Sugar,Dehydrated Glucose Syrup,Modified Corn Starch,Blood Orange Juice,Xanthan Gum Stabilizer,Natural Orange Flavor.",American Roland,"Roland Blood Orange Glaze Made With Balsamic Vinegar of Modena, 12.9 Fl Oz"
St. Dalfour,"Food & Grocery,Gum & Candy,Gum & Mints,Grocery & Gourmet Food,Candy & Chocolate,Chewing Gum,Food,Gum,#32214 in,#1862 in,#205 in,Grocery","Black Cherries,Concentrated Grape Juice,Fruit Pectin,Lemon Juice.",St. Dalfour,St. Dalfour Black Cherry 100% Fruit Conserve (6x10 Oz)
House-Autry,"Food & Grocery,Gum & Candy,Gummy & Jelly","Enriched Whole Grain Yellow Corn Meal (Corn, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),.",House Autry,House-autry Yellow Plain Corn Meal 2 Lb. Bag
Squirt,"Food & Grocery,Gum & Candy,Gummy & Jelly","Carbonated Water,High Fructose Corn Syrup And Contains 2 Or Less of: Natural Flavors,Concentrated Ruby Red Grapefruit Juice,Citric Acid,Modified Food Starch,Sodium Benzoate (Preservative),Caffeine,Ester Gum,Red 40,Brominated Vegetable Oil,Calcium Disodium Edta (Preservative),.",A&W Concentrate Company,Soda Ruby Red
Celestial Seasonings,"Food & Grocery,Gum & Candy,Gummy & Jelly","Hibiscus,Roasted Barley,Roasted Chicory,Rosehips,Chamomile,Natural Plum and Cinnamon Flavors with Other Natural Flavors,Ginger,Roasted Carob and Cardamom.",Hain Celestial Group,Celestial Seasonings Sugar Plum Spice Tea
Utz,"Food & Grocery,Gum & Candy,Gummy & Jelly","Wheat Flour,Salt,Malt Syrup (Derived from Barley),Corn Oil,Sugar,Yeast,Soda. Allergy Information: Contains Wheat and Barley. This Product Is Also Made On A Production Line That Produces Other Pretzels That May Contain Soy and Sesame Seeds. Made In A",Utz Quality Foods,"Utz Halloween Bat & Pumpkin Shaped Treats Pretzel, 20 Oz"
